OBEC, ULICA, PSC, DPOSTA, OKRES
 Ábelová;;985 13;Ábelová;Lučenec
  Bratislava;Čučoriedková;821 07;Bratislava 214;Bratislava I
  Bratislava;Čulenova;811 09;Bratislava 1;Bratislava I
  Bratislava;Daliborovo námestie;851 01;Bratislava 5;Bratislava I
  Bratislava;Damborského;841 01;Bratislava 42;Bratislava I
  Bratislava;Dankovského;811 03;Bratislava 1;Bratislava I
  Bratislava;Dargovská;851 01;Bratislava 5;Bratislava I
  Bratislava;Ďatelinová;821 01;Bratislava 2;Bratislava I
  Bratislava;Daxnerovo námestie;821 08;Bratislava 2;Bratislava I
  Bratislava;Delená;841 07;Bratislava 49;Bratislava I
  Bratislava;Delená cesta;841 10;Bratislava 49;Bratislava I
  Bratislava;Demänovská;831 06;Bratislava 35;Bratislava I
  Bratislava;Dérerova;;;Bratislava I
  Bratislava;Desiata;831 01;Bratislava 37;Bratislava I
  Bratislava;Detvianska;831 06;Bratislava 35;Bratislava I
  Bratislava;Devätinová;821 06;Bratislava 214;Bratislava I
  Bratislava;Deviata;831 01;Bratislava 37;Bratislava I
  Bratislava;Devínska cesta;841 04;Bratislava 4;Bratislava I
  Bratislava;Devínska cesta - kam;841 10;Bratislava 49;Bratislava I
  Bratislava;Devínske jazero;841 07;Bratislava 49;Bratislava I
  Bratislava;Dlhá;851 10;Bratislava 59;Bratislava I
  Bratislava;Dlhé diely I.;841 04;Bratislava 4;Bratislava I
  Bratislava;Dlhé diely II.;841 04;Bratislava 4;Bratislava I
  Bratislava;Dlhé diely III.;841 04;Bratislava 4;Bratislava I
  Bratislava;Dneperská;821 06;Bratislava 214;Bratislava I
  Bratislava;Dobrovičova;811 09;Bratislava 1;Bratislava I
  Bratislava;Dobrovičova;811 02;Bratislava 1;Bratislava I
  Bratislava;Dobrovského;811 08;Bratislava 1;Bratislava I
  Bratislava;Dobšinského;811 05;Bratislava 1;Bratislava I
  Bratislava;Dohnalova;811 04;Bratislava 1;Bratislava I
  Bratislava;Dohnányho;821 08;Bratislava 2;Bratislava I
  Bratislava;Doležalova;821 04;Bratislava 2;Bratislava I
  Bratislava;Dolinského;;;Bratislava I
  Bratislava;Dolná;811 04;Bratislava 1;Bratislava I
  Bratislava;Dolné Koruny;841 10;Bratislava 49;Bratislava I
  Bratislava;Dolnokorunská;841 10;Bratislava 49;Bratislava I
  Bratislava;Dolnozemská cesta;851 04;Bratislava 5;Bratislava I
  Bratislava;Domašská;821 07;Bratislava 214;Bratislava I
  Bratislava;Domkárska;821 05;Bratislava 2;Bratislava I
  Bratislava;Domové role;821 05;Bratislava 2;Bratislava I
  Bratislava;Donnerova;841 04;Bratislava 4;Bratislava I
  Bratislava;Donovalova;811 06;Bratislava 1;Bratislava I
  Bratislava;Donská;841 06;Bratislava 48;Bratislava I
  Bratislava;Dopravná;831 06;Bratislava 35;Bratislava I
  Bratislava;Dorastenecká;831 07;Bratislava 36;Bratislava I
  Bratislava;Dostojevského rad;811 09;Bratislava 1;Bratislava I
  Bratislava;Dr. Vladimíra Clemen;821 02;Bratislava 2;Bratislava I
  Bratislava;Dražická;841 01;Bratislava 42;Bratislava I
  Bratislava;Drevená;811 06;Bratislava 1;Bratislava I
  Bratislava;Drieňová;821 03;Bratislava 2;Bratislava I
  Bratislava;Drieňová;821 02;Bratislava 2;Bratislava I
  Bratislava;Drieňová;821 01;Bratislava 2;Bratislava I
  Bratislava;Drobného;841 01;Bratislava 42;Bratislava I
  Bratislava;Drotárska cesta;811 04;Bratislava 1;Bratislava I
  Bratislava;Drotárska cesta;811 02;Bratislava 1;Bratislava I
  Bratislava;Drotárska cesta;811 02;Bratislava 1;Bratislava I
  Bratislava;Druhá;831 01;Bratislava 37;Bratislava I
  Bratislava;Druidská;851 10;Bratislava 59;Bratislava I
  Bratislava;Družicová;821 02;Bratislava 2;Bratislava I
  Bratislava;Družobná;821 06;Bratislava 214;Bratislava I
  Bratislava;Družstevná;831 04;Bratislava 3;Bratislava I
  Bratislava;Dubčekova;;;Bratislava I
  Bratislava;Dubnická;851 02;Bratislava 5;Bratislava I
  Bratislava;Dubová;811 04;Bratislava 1;Bratislava I
  Bratislava;Dúbravčická;841 02;Bratislava 42;Bratislava I
  Bratislava;Dúbravská cesta;841 04;Bratislava 4;Bratislava I
  Bratislava;Dudova;851 02;Bratislava 5;Bratislava I
  Bratislava;Dudvážska;821 07;Bratislava 214;Bratislava I
  Bratislava;Dulovo námestie;821 09;Bratislava 2;Bratislava I
  Bratislava;Dulovo námestie;821 08;Bratislava 2;Bratislava I
  Bratislava;Ďumbierska;831 01;Bratislava 37;Bratislava I
  Bratislava;Dunajská;811 08;Bratislava 1;Bratislava I
  Bratislava;Ďurgalova;831 01;Bratislava 37;Bratislava I
  Bratislava;Dvanásta;831 01;Bratislava 37;Bratislava I
  Bratislava;Dvojkrížna;821 07;Bratislava 214;Bratislava I
  Bratislava;Dvojkrížna;821 06;Bratislava 214;Bratislava I
  Bratislava;Dvořákovo nábrežie;811 02;Bratislava 1;Bratislava I
  Bratislava;Edisonova;821 04;Bratislava 2;Bratislava I
  Bratislava;Egrešová;821 07;Bratislava 214;Bratislava I
  Bratislava;Einsteinova;851 01;Bratislava 5;Bratislava I
  Bratislava;Eisnerova;841 07;Bratislava 49;Bratislava I
  Bratislava;Elektrárenská;831 04;Bratislava 3;Bratislava I
  Bratislava;Estónska;821 06;Bratislava 214;Bratislava I
  Bratislava;Estónska;821 07;Bratislava 214;Bratislava I
  Bratislava;Exnárova;821 03;Bratislava 2;Bratislava I
  Bratislava;F. Kostku;841 05;Bratislava 4;Bratislava I
  Bratislava;Fadruszova;841 04;Bratislava 4;Bratislava I
  Bratislava;Fajnorovo nábrežie;811 02;Bratislava 1;Bratislava I
  Bratislava;Fándlyho;811 03;Bratislava 1;Bratislava I
  Bratislava;Farebná;821 05;Bratislava 2;Bratislava I
  Bratislava;Farská;811 01;Bratislava 1;Bratislava I
  Bratislava;Farského;851 01;Bratislava 5;Bratislava I
  Bratislava;Fazuľová;811 07;Bratislava 1;Bratislava I
  Bratislava;Fedákova;841 02;Bratislava 42;Bratislava I
  Bratislava;Fedinova;851 01;Bratislava 5;Bratislava I
  Bratislava;Ferienčíkova;811 08;Bratislava 1;Bratislava I
  Bratislava;Fialkové údolie;811 01;Bratislava 1;Bratislava I
  Bratislava;Fibichova;821 05;Bratislava 2;Bratislava I
  Bratislava;Fikusová;851 10;Bratislava 59;Bratislava I
  Bratislava;Filiálne nádražie;831 04;Bratislava 3;Bratislava I
  Bratislava;Fláviovská;851 10;Bratislava 59;Bratislava I
  Bratislava;Flöglova;811 05;Bratislava 1;Bratislava I
  Bratislava;Floriánske námestie;811 07;Bratislava 1;Bratislava I
  Bratislava;Fraňa Kráľa;811 05;Bratislava 1;Bratislava I
  Bratislava;Francisciho;811 08;Bratislava 1;Bratislava I
  Bratislava;Francúzskych partizá;811 04;Bratislava 1;Bratislava I
  Bratislava;Frankovská;831 01;Bratislava 37;Bratislava I
  Bratislava;Františkánska;811 01;Bratislava 1;Bratislava I
  Bratislava;Františkánske námest;811 01;Bratislava 1;Bratislava I
  Bratislava;Františka Schmuckera;851 10;Bratislava 59;Bratislava I
  Bratislava;Fullova;;;Bratislava I
  Bratislava;Furdekova;851 04;Bratislava 5;Bratislava I
  Bratislava;Furdekova;851 03;Bratislava 5;Bratislava I
  Bratislava;Furmanská;841 03;Bratislava 42;Bratislava I
  Bratislava;Furmintská;831 52;Bratislava 34;Bratislava I
  Bratislava;Gabčíkova;841 05;Bratislava 4;Bratislava I
  Bratislava;Gagarinova;821 05;Bratislava 2;Bratislava I
  Bratislava;Gagarinova;821 03;Bratislava 2;Bratislava I
  Bratislava;Gagarinova;821 01;Bratislava 2;Bratislava I
  Bratislava;Gajc;821 06;Bratislava 214;Bratislava I
  Bratislava;Gajova;811 09;Bratislava 1;Bratislava I
  Bratislava;Galaktická;821 02;Bratislava 2;Bratislava I
  Bratislava;Galandova;811 06;Bratislava 1;Bratislava I
  Bratislava;Galbavého;841 01;Bratislava 42;Bratislava I
  Bratislava;Gallayova;841 02;Bratislava 42;Bratislava I
  Bratislava;Gallova;821 04;Bratislava 2;Bratislava I
  Bratislava;Galvaniho;821 04;Bratislava 2;Bratislava I
  Bratislava;Gašparíkova;821 04;Bratislava 2;Bratislava I
  Bratislava;Gaštanová;811 04;Bratislava 1;Bratislava I
  Bratislava;Gavlovičova;831 03;Bratislava 3;Bratislava I
  Bratislava;Gbelská;841 06;Bratislava 48;Bratislava I
  Bratislava;Gelnická;831 06;Bratislava 35;Bratislava I
  Bratislava;Gemerská;821 08;Bratislava 2;Bratislava I
  Bratislava;Geologická;821 06;Bratislava 214;Bratislava I
  Bratislava;Georgínová;821 07;Bratislava 214;Bratislava I
  Bratislava;Gercenova;851 01;Bratislava 5;Bratislava I
  Bratislava;Gerulatská;851 10;Bratislava 59;Bratislava I
  Bratislava;Gessayova;851 03;Bratislava 5;Bratislava I
  Bratislava;Gettingová;851 04;Bratislava 5;Bratislava I
  Bratislava;Glavica;840 09;Bratislava 49;Bratislava I
  Bratislava;Godrova;811 06;Bratislava 1;Bratislava I
  Bratislava;Gogoľova;851 01;Bratislava 5;Bratislava I
  Bratislava;Goláňova;821 03;Bratislava 2;Bratislava I
  Bratislava;Gondova;811 02;Bratislava 1;Bratislava I
  Bratislava;Goralská;851 01;Bratislava 5;Bratislava I
  Bratislava;Gorazdova;811 04;Bratislava 1;Bratislava I
  Bratislava;Gorkého;811 01;Bratislava 1;Bratislava I
  Bratislava;Gregorovej;821 03;Bratislava 2;Bratislava I
  Bratislava;Gronárska;841 10;Bratislava 49;Bratislava I
  Bratislava;Grösslingova;811 09;Bratislava 1;Bratislava I
  Bratislava;Gruzínska;821 05;Bratislava 2;Bratislava I
  Bratislava;Gunduličova;811 05;Bratislava 1;Bratislava I
  Bratislava;Guothova;831 01;Bratislava 37;Bratislava I
  Bratislava;Gusevova;821 09;Bratislava 2;Bratislava I
  Bratislava;Gwerkovej;;;Bratislava I
  Bratislava;Haanova;851 04;Bratislava 5;Bratislava I
  Bratislava;Haburská;821 01;Bratislava 2;Bratislava I
  Bratislava;Hadia cesta;841 10;Bratislava 49;Bratislava I
  Bratislava;Hadriánová;851 10;Bratislava 59;Bratislava I
  Bratislava;Hagarova;831 51;Bratislava 34;Bratislava I
  Bratislava;Hagarova;831 52;Bratislava 34;Bratislava I
  Bratislava;Hájová;851 10;Bratislava 59;Bratislava I
  Bratislava;Halašova;831 03;Bratislava 3;Bratislava I
  Bratislava;Hálkova;831 03;Bratislava 3;Bratislava I
  Bratislava;Hálova;851 01;Bratislava 5;Bratislava I
  Bratislava;Hamuliakova;821 09;Bratislava 2;Bratislava I
  Bratislava;Hanácka;821 04;Bratislava 2;Bratislava I
  Bratislava;Handlovská;851 01;Bratislava 5;Bratislava I
  Bratislava;Hanulova;841 02;Bratislava 42;Bratislava I
  Bratislava;Hanulova;841 01;Bratislava 42;Bratislava I
  Bratislava;Hany Meličkovej;841 05;Bratislava 4;Bratislava I
  Bratislava;Hargašova;841 06;Bratislava 48;Bratislava I
  Bratislava;Harmanecká;851 01;Bratislava 5;Bratislava I
  Bratislava;Harmincova;841 01;Bratislava 42;Bratislava I
  Bratislava;Hasičská;821 04;Bratislava 2;Bratislava I
  Bratislava;Hattalova;831 03;Bratislava 3;Bratislava I
  Bratislava;Havelkova;841 03;Bratislava 42;Bratislava I
  Bratislava;Havlíčkova;811 04;Bratislava 1;Bratislava I
  Bratislava;Havrania;811 04;Bratislava 1;Bratislava I
  Bratislava;Haydnova;811 02;Bratislava 1;Bratislava I
  Bratislava;Hečkova;831 51;Bratislava 34;Bratislava I
  Bratislava;Hella;;;Bratislava I
  Bratislava;Herlianska;821 03;Bratislava 2;Bratislava I
  Bratislava;Herlianska;821 02;Bratislava 2;Bratislava I
  Bratislava;Heydukova;811 08;Bratislava 1;Bratislava I
  Bratislava;Heyrovského;841 03;Bratislava 42;Bratislava I
  Bratislava;Hlaváčikova;841 05;Bratislava 4;Bratislava I
  Bratislava;Hlavatého;811 03;Bratislava 1;Bratislava I
  Bratislava;Hlavná;831 01;Bratislava 37;Bratislava I
  Bratislava;Hlavné námestie;811 01;Bratislava 1;Bratislava I
  Bratislava;Hlbinná;821 06;Bratislava 214;Bratislava I
  Bratislava;Hlboká cesta;811 05;Bratislava 1;Bratislava I
  Bratislava;Hlboká cesta;811 04;Bratislava 1;Bratislava I
  Bratislava;Hlinická;831 54;Bratislava 34;Bratislava I
  Bratislava;Hlinická;831 52;Bratislava 34;Bratislava I
  Bratislava;Hlivová;841 04;Bratislava 4;Bratislava I
  Bratislava;Hlohová;821 07;Bratislava 214;Bratislava I
  Bratislava;Hlučínska;831 03;Bratislava 3;Bratislava I
  Bratislava;Hnilecká;821 07;Bratislava 214;Bratislava I
  Bratislava;Hodálova;841 04;Bratislava 4;Bratislava I
  Bratislava;Hodonínska;841 03;Bratislava 42;Bratislava I
  Bratislava;Hodonínska;841 03;Bratislava 42;Bratislava I
  Bratislava;Hodonínska;840 02;Bratislava 42;Bratislava I
  Bratislava;Hodžovo námestie;811 06;Bratislava 1;Bratislava I
  Bratislava;Holekova;811 04;Bratislava 1;Bratislava I
  Bratislava;Holíčska;851 05;Bratislava 5;Bratislava I
  Bratislava;Hollého;811 08;Bratislava 1;Bratislava I
  Bratislava;Holubyho;811 03;Bratislava 1;Bratislava I
  Bratislava;Holý vrch;;;Bratislava I
  Bratislava;Homolova;841 02;Bratislava 42;Bratislava I
  Bratislava;Hontianska;821 09;Bratislava 2;Bratislava I
  Bratislava;Horárska;821 09;Bratislava 2;Bratislava I
  Bratislava;Horcová;821 07;Bratislava 214;Bratislava I
  Bratislava;Horčičná;821 07;Bratislava 214;Bratislava I
  Bratislava;Horná;831 52;Bratislava 34;Bratislava I
  Bratislava;Horná Vančurová;831 01;Bratislava 37;Bratislava I
  Bratislava;Hornádska;821 07;Bratislava 214;Bratislava I
  Bratislava;Horné Židiny;830 00;Bratislava 3;Bratislava I
  Bratislava;Horova;;;Bratislava I
  Bratislava;Horská;831 02;Bratislava 3;Bratislava I
  Bratislava;Horská;831 02;Bratislava 3;Bratislava I
  Bratislava;Horská;831 52;Bratislava 34;Bratislava I
  Bratislava;Horváthova;;;Bratislava I
  Bratislava;Hospodárska;831 07;Bratislava 36;Bratislava I
  Bratislava;Hrabový chodník;831 01;Bratislava 37;Bratislava I
  Bratislava;Hrad;811 01;Bratislava 1;Bratislava I
  Bratislava;Hradištná;841 07;Bratislava 49;Bratislava I
  Bratislava;Hradná;841 10;Bratislava 49;Bratislava I
  Bratislava;Hradné údolie;811 01;Bratislava 1;Bratislava I
  Bratislava;Hradská;821 07;Bratislava 214;Bratislava I
  Bratislava;Hrachová;821 05;Bratislava 2;Bratislava I
  Bratislava;Hraničiarov;;;Bratislava I
  Bratislava;Hraničiarska;851 10;Bratislava 59;Bratislava I
  Bratislava;Hraničná;821 05;Bratislava 2;Bratislava I
  Bratislava;Hraničný priechod-Ču;850 09;Bratislava 59;Bratislava I
  Bratislava;Hrdličkova;831 01;Bratislava 37;Bratislava I
  Bratislava;Hrebendova;811 02;Bratislava 1;Bratislava I
  Bratislava;Hríbová;821 05;Bratislava 2;Bratislava I
  Bratislava;Hriňovská;811 02;Bratislava 1;Bratislava I
  Bratislava;Hrobákova;851 02;Bratislava 5;Bratislava I
  Bratislava;Hrobárska;851 01;Bratislava 5;Bratislava I
  Bratislava;Hroboňova;811 04;Bratislava 1;Bratislava I
  Bratislava;Hroncova;;;Bratislava I
  Bratislava;Hronska;821 07;Bratislava 214;Bratislava I
  Bratislava;Hronského;;;Bratislava I
  Bratislava;Hroznová;831 01;Bratislava 37;Bratislava I
  Bratislava;Hrušková;831 06;Bratislava 35;Bratislava I
  Bratislava;Hrušovská;821 07;Bratislava 214;Bratislava I
  Bratislava;Hubeného;831 54;Bratislava 34;Bratislava I
  Bratislava;Hubeného;831 53;Bratislava 34;Bratislava I
  Bratislava;Hudecova;841 04;Bratislava 4;Bratislava I
  Bratislava;Humenské námestie;851 07;Bratislava 5;Bratislava I
  Bratislava;Hummelova;811 03;Bratislava 1;Bratislava I
  Bratislava;Hurbanovo námestie;811 06;Bratislava 1;Bratislava I
  Bratislava;Hurbanovo námestie;811 03;Bratislava 1;Bratislava I
  Bratislava;Husova;831 01;Bratislava 37;Bratislava I
  Bratislava;Húščavova;841 01;Bratislava 42;Bratislava I
  Bratislava;Hutnícka;841 10;Bratislava 49;Bratislava I
  Bratislava;Hviezdna;821 06;Bratislava 214;Bratislava I
  Bratislava;Hviezdicová;821 07;Bratislava 214;Bratislava I
  Bratislava;Hviezdoslavova;821 06;Bratislava 214;Bratislava I
  Bratislava;Hviezdoslavovo námes;811 02;Bratislava 1;Bratislava I
  Bratislava;Hyacintová;821 07;Bratislava 214;Bratislava I
  Bratislava;Hybešova;831 06;Bratislava 35;Bratislava I
  Bratislava;Hydinárska;821 06;Bratislava 214;Bratislava I
  Bratislava;Hýrošova;811 04;Bratislava 1;Bratislava I
  Bratislava;Chalupkova;811 09;Bratislava 1;Bratislava I
  Bratislava;Charkovská;841 07;Bratislava 49;Bratislava I
  Bratislava;Chemická;831 04;Bratislava 3;Bratislava I
  Bratislava;Chladná;831 06;Bratislava 35;Bratislava I
  Bratislava;Chlumeckého;821 03;Bratislava 2;Bratislava I
  Bratislava;Chmeľová;821 07;Bratislava 214;Bratislava I
  Bratislava;Chorvátska;811 08;Bratislava 1;Bratislava I
  Bratislava;Chorvátska;811 07;Bratislava 1;Bratislava I
  Bratislava;Chotárna;851 10;Bratislava 59;Bratislava I
  Bratislava;Chrasťová;831 01;Bratislava 37;Bratislava I
  Bratislava;Chrenová;821 07;Bratislava 214;Bratislava I
  Bratislava;Chrobákova;841 02;Bratislava 42;Bratislava I
  Bratislava;Ihličnatá;821 07;Bratislava 214;Bratislava I
  Bratislava;Ihrisková;831 06;Bratislava 35;Bratislava I
  Bratislava;Iľjušinova;851 01;Bratislava 5;Bratislava I
  Bratislava;Ilkovičova;841 04;Bratislava 4;Bratislava I
  Bratislava;Ílová;841 07;Bratislava 49;Bratislava I
  Bratislava;Ilýrska;851 10;Bratislava 59;Bratislava I
  Bratislava;Imelová;821 07;Bratislava 214;Bratislava I
  Bratislava;Imricha Karvaša;;;Bratislava I
  Bratislava;Inovecká;811 03;Bratislava 1;Bratislava I
  Bratislava;Inovecká;811 01;Bratislava 1;Bratislava I
  Bratislava;Ipeľská;821 07;Bratislava 214;Bratislava I
  Bratislava;Irisová;821 07;Bratislava 214;Bratislava I
  Bratislava;Irkutská;851 10;Bratislava 59;Bratislava I
  Bratislava;Iršajská;831 01;Bratislava 37;Bratislava I
  Bratislava;Iskerníková;841 05;Bratislava 4;Bratislava I
  Bratislava;Istrijská;841 07;Bratislava 49;Bratislava I
  Bratislava;Ivana Blazeviča;851 10;Bratislava 59;Bratislava I
  Bratislava;Ivana Bukovčana;841 08;Bratislava 49;Bratislava I
  Bratislava;Ivana Horvátha;821 03;Bratislava 2;Bratislava I
  Bratislava;Ivánska cesta;821 04;Bratislava 2;Bratislava I
  Bratislava;J.C.Hronského;831 02;Bratislava 3;Bratislava I
  Bratislava;Jabloňová;821 05;Bratislava 2;Bratislava I
  Bratislava;Jačmenná;831 07;Bratislava 36;Bratislava I
  Bratislava;Jadranská;841 01;Bratislava 42;Bratislava I
  Bratislava;Jadrová;821 02;Bratislava 2;Bratislava I
  Bratislava;Jahodová;831 01;Bratislava 37;Bratislava I
  Bratislava;Jakabova;821 04;Bratislava 2;Bratislava I
  Bratislava;Jakubíkova;831 01;Bratislava 37;Bratislava I
  Bratislava;Jakubovo námestie;811 09;Bratislava 1;Bratislava I
  Bratislava;Jakubská;831 06;Bratislava 35;Bratislava I
  Bratislava;Jalovcová;831 01;Bratislava 37;Bratislava I
  Bratislava;Jamnického;841 05;Bratislava 4;Bratislava I
  Bratislava;Jána Jonáša;841 08;Bratislava 49;Bratislava I
  Bratislava;Jána Kostru;;;Bratislava I
  Bratislava;Jána Pavla II.;;;Bratislava I
  Bratislava;Jána Poničana;841 08;Bratislava 49;Bratislava I
  Bratislava;Jána Raka;841 06;Bratislava 48;Bratislava I
  Bratislava;Jána Smreka;841 08;Bratislava 49;Bratislava I
  Bratislava;Jána Stanislava;841 05;Bratislava 4;Bratislava I
  Bratislava;Jána Valašťana-Dolin;;;Bratislava I
  Bratislava;Janáčkova;811 08;Bratislava 1;Bratislava I
  Bratislava;Jančova;811 02;Bratislava 1;Bratislava I
  Bratislava;Janíkove role;851 01;Bratislava 5;Bratislava I
  Bratislava;Janka Alexyho;;;Bratislava I
  Bratislava;Janka Kráľa;821 06;Bratislava 214;Bratislava I
  Bratislava;Janka Kráľa;;;Bratislava I
  Bratislava;Jankolova;851 04;Bratislava 5;Bratislava I
  Bratislava;Jánošíkova;811 04;Bratislava 1;Bratislava I
  Bratislava;Jánoškova;831 02;Bratislava 3;Bratislava I
  Bratislava;Janotova;841 04;Bratislava 4;Bratislava I
  Bratislava;Janšákova;841 07;Bratislava 49;Bratislava I
  Bratislava;Jantárová;851 10;Bratislava 59;Bratislava I
  Bratislava;Jantárová;850 09;Bratislava 59;Bratislava I
  Bratislava;Jantárová cesta;851 06;Bratislava 5;Bratislava I
  Bratislava;Jarabinková;821 09;Bratislava 2;Bratislava I
  Bratislava;Jarná;821 05;Bratislava 2;Bratislava I
  Bratislava;Jaroslavova;851 01;Bratislava 5;Bratislava I
  Bratislava;Jarošova;831 03;Bratislava 3;Bratislava I
  Bratislava;Jasencová;841 07;Bratislava 49;Bratislava I
  Bratislava;Jaseňová;811 04;Bratislava 1;Bratislava I
  Bratislava;Jaskový rad;831 01;Bratislava 37;Bratislava I
  Bratislava;Jasná;821 04;Bratislava 2;Bratislava I
  Bratislava;Jasovská;851 07;Bratislava 5;Bratislava I
  Bratislava;Jastrabia;821 05;Bratislava 2;Bratislava I
  Bratislava;Jašíkova;821 03;Bratislava 2;Bratislava I
  Bratislava;Javorinská;811 03;Bratislava 1;Bratislava I
  Bratislava;Javorová;811 04;Bratislava 1;Bratislava I
  Bratislava;Jazdecká;831 03;Bratislava 3;Bratislava I
  Bratislava;Jazerná;851 10;Bratislava 59;Bratislava I
  Bratislava;Jazmínová;821 07;Bratislava 214;Bratislava I
  Bratislava;Jedenásta;831 01;Bratislava 37;Bratislava I
  Bratislava;Jedlíkova;811 06;Bratislava 1;Bratislava I
  Bratislava;Jedľová;821 07;Bratislava 214;Bratislava I
  Bratislava;Jégého;821 08;Bratislava 2;Bratislava I
  Bratislava;Jegeneš;821 06;Bratislava 214;Bratislava I
  Bratislava;Jelačičova;821 08;Bratislava 2;Bratislava I
  Bratislava;Jelenia;811 05;Bratislava 1;Bratislava I
  Bratislava;Jelšová;831 01;Bratislava 37;Bratislava I
  Bratislava;Jeséniova;831 01;Bratislava 37;Bratislava I
  Bratislava;Jesenná;821 02;Bratislava 2;Bratislava I
  Bratislava;Jesenského;811 02;Bratislava 1;Bratislava I
  Bratislava;Jesienková;821 07;Bratislava 214;Bratislava I
  Bratislava;Jiráskova;851 01;Bratislava 5;Bratislava I
  Bratislava;Jiskrova;831 04;Bratislava 3;Bratislava I
  Bratislava;Jókaiho;821 06;Bratislava 214;Bratislava I
  Bratislava;Jozefa Cígera - Hron;;;Bratislava I
  Bratislava;Jozefa Krónera;;;Bratislava I
  Bratislava;Jozefa Mikisitsa;851 10;Bratislava 59;Bratislava I
  Bratislava;Jozefská;811 06;Bratislava 1;Bratislava I
  Bratislava;Júlová;831 01;Bratislava 37;Bratislava I
  Bratislava;Junácka;831 04;Bratislava 3;Bratislava I
  Bratislava;Jungmannova;851 01;Bratislava 5;Bratislava I
  Bratislava;Júnová;831 01;Bratislava 37;Bratislava I
  Bratislava;Juraja Hronca;;;Bratislava I
  Bratislava;Jurigovo námestie;841 04;Bratislava 4;Bratislava I
  Bratislava;Jurkovičova;831 06;Bratislava 35;Bratislava I
  Bratislava;Jurovského;811 02;Bratislava 1;Bratislava I
  Bratislava;Jurská;831 02;Bratislava 3;Bratislava I
  Bratislava;Justičná;811 07;Bratislava 1;Bratislava I
  Bratislava;K horárskej studni;841 01;Bratislava 42;Bratislava I
  Bratislava;K lomu;811 04;Bratislava 1;Bratislava I
  Bratislava;K Železnej studienke;811 04;Bratislava 1;Bratislava I
  Bratislava;Kadnárova;831 55;Bratislava 34;Bratislava I
  Bratislava;Kadnárova;831 53;Bratislava 34;Bratislava I
  Bratislava;Kadnárova;831 52;Bratislava 34;Bratislava I
  Bratislava;Kadnárova;831 51;Bratislava 34;Bratislava I
  Bratislava;Kadnárova;831 06;Bratislava 35;Bratislava I
  Bratislava;Kafendova;831 06;Bratislava 35;Bratislava I
  Bratislava;Kalinčiakova;831 04;Bratislava 3;Bratislava I
  Bratislava;Kalinová;821 07;Bratislava 214;Bratislava I
  Bratislava;Kalištná;841 07;Bratislava 49;Bratislava I
  Bratislava;Kaméliová;821 07;Bratislava 214;Bratislava I
  Bratislava;Kamenárska;821 04;Bratislava 2;Bratislava I
  Bratislava;Kamenné námestie;811 08;Bratislava 1;Bratislava I
  Bratislava;Kameňolom;;;Bratislava I
  Bratislava;Kamilková;831 06;Bratislava 35;Bratislava I
  Bratislava;Kamilková;830 05;Bratislava 35;Bratislava I
  Bratislava;Kamzík;830 07;Bratislava 37;Bratislava I
  Bratislava;Kapicova;851 01;Bratislava 5;Bratislava I
  Bratislava;Kapitulská;811 01;Bratislava 1;Bratislava I
  Bratislava;Kapitulský dvor;851 07;Bratislava 5;Bratislava I
  Bratislava;Kaplinská;831 06;Bratislava 35;Bratislava I
  Bratislava;Kapucínska;811 03;Bratislava 1;Bratislava I
  Bratislava;Kapušianska;821 02;Bratislava 2;Bratislava I
  Bratislava;Karadžičova;821 08;Bratislava 2;Bratislava I
  Bratislava;Karadžičova;811 09;Bratislava 1;Bratislava I
  Bratislava;Karadžičova;811 08;Bratislava 1;Bratislava I
  Bratislava;Karadžičova;811 07;Bratislava 1;Bratislava I
  Bratislava;Karloveská;841 04;Bratislava 4;Bratislava I
  Bratislava;Karloveské rameno;841 04;Bratislava 4;Bratislava I
  Bratislava;Karola Adlera;;;Bratislava I
  Bratislava;Karpatská;811 05;Bratislava 1;Bratislava I
  Bratislava;Karpatské námestie;831 06;Bratislava 35;Bratislava I
  Bratislava;Karvaša;;;Bratislava I
  Bratislava;Kašmírska;821 04;Bratislava 2;Bratislava I
  Bratislava;Kaštielska;821 05;Bratislava 2;Bratislava I
  Bratislava;Kataríny Brúderovej;831 07;Bratislava 36;Bratislava I
  Bratislava;Kaukazská;851 01;Bratislava 5;Bratislava I
  Bratislava;Kazanská;821 06;Bratislava 214;Bratislava I
  Bratislava;Kazanská;821 07;Bratislava 214;Bratislava I
  Bratislava;Keltská;851 10;Bratislava 59;Bratislava I
  Bratislava;Kempelenova;841 04;Bratislava 4;Bratislava I
  Bratislava;Ketelec;821 06;Bratislava 214;Bratislava I
  Bratislava;Kežmarské námestie;851 01;Bratislava 5;Bratislava I
  Bratislava;Kladnianska;821 05;Bratislava 2;Bratislava I
  Bratislava;Klariská;811 03;Bratislava 1;Bratislava I
  Bratislava;Klásková;821 07;Bratislava 214;Bratislava I
  Bratislava;Kláštorská;821 05;Bratislava 2;Bratislava I
  Bratislava;Klatovská;831 04;Bratislava 3;Bratislava I
  Bratislava;Klatovská;821 04;Bratislava 2;Bratislava I
  Bratislava;Klemensova;811 09;Bratislava 1;Bratislava I
  Bratislava;Klementisova;;;Bratislava I
  Bratislava;Klenová;831 01;Bratislava 37;Bratislava I
  Bratislava;Klimkovičova;841 01;Bratislava 42;Bratislava I
